date,patch,matchtype,matchnum,team,side,victorydefeat,time,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,summoner,role,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute,visionscoreperhour
2020-12-29,10.25,scrim,1,southeast missouri state university,blue,defeat,23:16,1,0,1,2,2,Forever Glimpse,top,Darius,3,4,2,2,1,0,4.9,4.2,0,0.7,81.3,62.9,0,18.3,0,2,1.4,1.6,16,8.3,5.8,1.8,5,0,0,0,8.6,8.2,152,0,0,0,1.25,0.833333333,1.225,0.189189189,0.569767442,1.4,24,6.53,12.89
2020-12-29,10.25,scrim,1,southeast missouri state university,blue,defeat,23:16,1,0,1,2,2,Mirum,jungle,Skarner,1,4,2,1,1,0,3.5,1.2,1.8,0.4,122.3,64.7,42.4,15.1,0,26.1,0.1,7.7,19.1,13.5,4.4,1.1,8,3,0,1,8,7.6,12,137,87,11,0.75,0.5,0.875,0.135135135,0.4375,1.4,63,6.40,30.95
2020-12-29,10.25,scrim,1,southeast missouri state university,blue,defeat,23:16,1,0,1,2,2,Kennasaur,mid,Neeko,1,2,2,1,1,0,7.6,0.3,7.3,0,80.8,17.1,63.6,0,0,2.5,1,1.3,7.2,2.6,4.2,0.3,9,4,0,2,7.4,7.1,164,5,1,0,1.5,0.5,3.8,0.293436293,1.027027027,-0.8,-3,7.26,38.68
2020-12-29,10.25,scrim,1,southeast missouri state university,blue,defeat,23:16,1,0,1,2,2,Nightš,adc,Jhin,0,7,2,0,0,0,6.2,5.6,0.6,0,82.1,74,6.6,1.5,719,5.1,1.2,2.1,11.5,6.4,3.8,1.3,7,0,0,2,7,6.7,144,8,0,0,0.285714286,0.333333333,0.885714286,0.239382239,0.885714286,-5.8,-13,6.53,23.21
2020-12-29,10.25,scrim,1,southeast missouri state university,blue,defeat,23:16,1,0,1,2,2,Dai Enkai Entei,support,Nautilus,1,6,1,1,1,0,3.7,0.8,2.5,0.4,19,6.5,6.1,6.4,0,2.3,1.3,0.3,13,5.4,5.3,2.2,18,6,0,4,5.3,5.1,37,0,0,0,0.333333333,0.333333333,0.616666667,0.142857143,0.698113208,-1.5,29,1.59,72.21
2020-12-29,10.25,scrim,1,lindenwood university,red,victory,23:16,6,1,0,2,0,LoL Coach Sam,top,Malphite,2,3,11,2,1,0,10.1,1.8,8.3,0,74.8,22.6,47.6,4.5,20,6.2,1.9,0.3,11.6,7.8,3.1,0.8,5,3,0,4,7.2,5.7,124,4,4,0,4.333333333,0.565217391,3.366666667,0.211297071,1.402777778,-1.4,-24,5.50,30.95
2020-12-29,10.25,scrim,1,lindenwood university,red,victory,23:16,6,1,0,2,0,Puzyri,jungle,Rammus,1,1,9,1,1,0,2.7,0.4,2.3,0,74.6,20.1,49.1,5.3,29,10,1.5,7.5,14.8,9.5,5.2,0,6,2,0,5,6.6,6,5,81,65,0,10,0.434782609,2.7,0.056485356,0.409090909,-1.4,-63,3.70,33.52
2020-12-29,10.25,scrim,1,lindenwood university,red,victory,23:16,6,1,0,2,0,VinaZz VI,mid,Seraphine,2,0,14,2,1,0,10.1,1,9.1,0,103.4,11.3,89.1,3,0,4.8,3.3,2.5,3.9,1.7,2.2,0,8,2,0,2,8.2,7.5,164,8,8,0,#DIV/0!,0.695652174,#DIV/0!,0.211297071,1.231707317,0.8,3,7.39,30.95
2020-12-29,10.25,scrim,1,lindenwood university,red,victory,23:16,6,1,0,2,0,MoonJuices,adc,Vayne,16,1,3,15,4,1,21.7,14.2,0.8,6.7,111.6,85.3,1.6,24.8,348,23.9,8.6,5.6,10.8,7.2,3.2,0.4,7,4,0,2,12.8,11.6,157,8,0,4,19,0.826086957,21.7,0.453974895,1.6953125,5.8,13,7.09,33.52
2020-12-29,10.25,scrim,1,lindenwood university,red,victory,23:16,6,1,0,2,0,bricktps,support,Lulu,2,1,17,2,1,0,3.2,0.8,2.4,0,15.2,3.7,11.5,0,0,5,2.6,2.3,5.4,2.6,2.4,0.4,10,4,0,3,6.8,5.9,8,0,0,0,19,0.826086957,3.2,0.066945607,0.470588235,1.5,-29,0.34,43.84
2020-12-29,10.25,scrim,2,lindenwood university,blue,defeat,27:38,3,0,0,1,0,LoL Coach Sam,top,Camille,5,6,8,2,2,0,15.5,10.7,0.9,3.9,89.8,76,1.1,12.7,0,5,3.6,5.3,25.6,16.3,8.1,1.1,10,3,0,5,10.8,9.6,156,4,0,0,2.166666667,0.541666667,2.583333333,0.199742268,1.435185185,-2.6,-29,5.79,39.08
2020-12-29,10.25,scrim,2,lindenwood university,blue,defeat,27:38,3,0,0,1,0,Puzyri,jungle,Nunu,1,8,13,1,1,0,7.3,0.7,6.4,0.2,114.5,25.4,56,33.1,0,4.5,0.2,17.4,36.8,29.1,7,0.7,2,0,0,3,8.2,7.9,9,109,86,0,1.75,0.583333333,0.9125,0.094072165,0.890243902,-1.9,-36,4.27,10.86
2020-12-29,10.25,scrim,2,lindenwood university,blue,defeat,27:38,3,0,0,1,0,VinaZz VI,mid,Seraphine,2,6,14,2,1,0,19,1.1,17.9,0,100.6,10.2,90.4,0,0,3,1.3,5.2,16,10.5,5.3,0.1,8,1,0,1,8.7,8.2,145,6,5,0,2.666666667,0.666666667,3.166666667,0.244845361,2.183908046,-2,-34,5.46,21.71
2020-12-29,10.25,scrim,2,lindenwood university,blue,defeat,27:38,3,0,0,1,0,MoonJuices,adc,Kai'Sa,15,7,1,7,3,1,24.5,15.3,6.4,2.9,133.9,103.8,20.3,9.8,337,7.2,3,6.5,19.6,11.7,6.9,1,5,2,0,0,14.4,14.3,184,16,12,4,2.285714286,0.666666667,3.5,0.315721649,1.701388889,0.2,-8,7.24,15.20
2020-12-29,10.25,scrim,2,lindenwood university,blue,defeat,27:38,3,0,0,1,0,bricktps,support,Nautilus,1,4,16,1,1,0,11.3,1.6,8.2,1.5,26.2,5.9,13.2,7.2,0,0.7,0.4,2,15.7,10.8,4.1,0.7,19,3,0,4,6.3,6.1,29,0,0,0,4.25,0.708333333,2.825,0.145618557,1.793650794,-0.6,1,1.05,56.45
2020-12-29,10.25,scrim,2,southeast missouri state university,red,victory,27:38,7,1,1,3,2,Forever Glimpse,top,Wukong,9,4,9,4,2,0,19,15.8,2.8,0.3,127.2,100.8,23.7,2.7,0,18,3,6.6,25.4,14.7,8.5,2.2,8,2,0,0,13.4,12.7,157,32,23,4,4.5,0.6,4.75,0.216647662,1.417910448,2.6,29,6.84,21.71
2020-12-29,10.25,scrim,2,southeast missouri state university,red,victory,27:38,7,1,1,3,2,Mirum,jungle,Sejuani,4,5,13,3,1,0,9.5,3.9,4.7,0.9,124.8,55.7,58.3,10.8,0,21,0.7,10,29.2,16.8,9.8,2.6,9,2,0,3,10.1,9.4,18,136,96,4,3.4,0.566666667,1.9,0.108323831,0.940594059,1.9,36,5.57,30.40
2020-12-29,10.25,scrim,2,southeast missouri state university,red,victory,27:38,7,1,1,3,2,Kennasaur,mid,Viktor,6,5,9,3,1,0,19.7,1,18.3,0.4,112.4,15.3,94.7,2.3,0,3.2,1,0.6,15.8,8.1,6.6,1.1,14,0,0,6,10.7,9.6,173,12,0,0,3,0.5,3.94,0.224629418,1.841121495,2,34,6.69,43.43
2020-12-29,10.25,scrim,2,southeast missouri state university,red,victory,27:38,7,1,1,3,2,Nightš,adc,Miss Fortune,11,4,8,7,2,0,35.5,32,2.2,1.3,160.1,148.6,5.3,6.2,735,29.4,8.9,10,19,7.7,10.5,0.8,8,4,0,1,14.2,10.5,203,5,1,1,4.75,0.633333333,8.875,0.404789054,2.5,-0.2,8,7.53,28.23
